DateTime,AddedIPs,RemovedIPs
1606481727,5,0
1606482034,7,0
1606482327,8,0
1606483831,2,0
1606487433,2,0
1606488628,1,0
1606488927,1,0
1606489235,9,0
1606489529,11,0
1606489828,9,0
1606490129,18,0
1606490427,13,0
1606490727,4,0
1606491327,3,0
1606491628,5,0
1606491931,6,0
1606492527,9,0
1606493428,5,0
1606494632,2,0
1606495828,1,0
1606497029,6,0
1606497335,3,0
1606497629,5,0
1606498231,3,0
1606499131,1,0
1606501832,4,0
1606503033,1,0
1606505430,2,0
1606506630,9,0
1606506927,10,0
1606507232,4,0
1606507530,4,0
1606507829,1,0
1606509033,1,0
1606510232,1,0
1606511131,1,0
1606512629,3,0
1606513828,1,0
1606515028,1,0
1606516232,1,0
1606517132,1,0
1606519833,2,0
1606523431,1,0
1606527030,5,0
1606528231,1,0
1606529733,8,0
1606530028,5,0
1606530629,4,0
1606534230,2,0
1606537829,3,0
1606545029,4,0
1606546526,1,0
1606547428,2,0
1606548633,2,0
1606558228,1,0
1606559429,3,0
1606560630,1,0
1606561828,3,0
1606563033,4,0
1606563930,1,0
1606564228,1,0
1606565427,1,0
1606566631,2,0
1606567530,1,0
1606570230,1,0
1606572628,1,0
1606573832,1,0
1606574732,2,0
1606575327,41,0
1606575629,16,0
1606575929,5,0
1606576230,18,0
1606576531,10,0
1606576828,6,0
1606577128,4,0
1606577429,8,0
1606578629,1,0
1606579829,1,0
1606581029,1,0
1606583429,1,0
1606584630,2,0
1606587030,1,0
1606587328,10,0
1606587628,5,0
1606587928,9,0
1606588231,11,0
1606588527,4,0
1606588829,3,0
1606589430,5,0
1606589727,2,0
1606590030,3,0
1606590333,2,0
1606590629,1,0
1606590929,1,0
1606591228,3,0
1606591829,6,0
1606595429,3,0
1606598129,1,0
1606599029,2,0
1606600527,5,0
1606600834,2,0
1606601428,8,0
1606601731,3,0
1606602028,4,0
1606602328,3,0
1606602628,5,0
1606606229,3,0
1606607131,4,0
1606608036,0,1
1606608931,3,0
1606609831,3,0
1606611030,1,0
1606611931,1,0
1606612529,3,0
1606612829,1,0
1606613128,5,0
1606613434,8,0
1606613727,1,0
1606614628,5,0
1606617031,3,0
1606619130,1,0
1606619728,1,0
1606620629,5,0
1606621531,2,0
1606621829,1,0
1606622730,1,0
1606623028,8,0
1606624230,6,0
1606625431,1,0
1606626628,5,0
1606627828,2,0
1606630532,7,0
1606631431,3,0
1606632332,7,0
1606632627,3,0
1606634129,9,0
1606634428,1,0
1606635032,5,0
1606635931,3,0
1606636229,57,0
1606636527,11,0
1606637429,1,0
1606638029,1,0
1606638630,1,0
1606638928,38,0
1606639229,0,9
1606639531,1,2
1606639827,6,0
1606640127,1,0
1606641028,3,0
1606642230,2,0
1606643129,1,0
1606643430,3,0
1606644627,1,0
1606644928,1,0
1606645830,4,0
1606646732,1,0
1606647027,19,0
1606648528,0,1
1606648828,1,0
